Years,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Indiana (Items),66.82013135,66.97814319,66.06859003,68.93336097,72.18688996,71.37212644,66.20336693,65.71628097,66.99459831,61.11856027,60.68679564,58.3425028,52.48549151,52.18062189,54.0033543,49.86246101,46.11217661,45.59606239,51.13702043,52.73556536,48.47219636,49.86666667,52.55410207,47.91008613,44.09396135,49.55354511,43.52183697,50.18896685,44.14371257,40.23721216,44.24817456,42.60267389,43.07125541,37.95144324,38.54553415,36.10232704,35.66425811,36.7267136,36.28067439,36.36018637,36.0831665,39.85835819
        Iowa (Items),42.73839971,38.3464157,41.15734913,46.03629764,41.83493856,41.78432068,41.7498452,42.57262975,48.03298266,44.13480535,43.01888412,40.65407387,39.87876904,37.63557289,38.31538462,40.67113494,36.7178755,38.09725994,37.29498889,42.08918725,41.90405117,40.20497297,40.08801611,42.10609756,38.37879088,43.02407261,38.90825879,45.06467259,40.83604022,39.55172414,43.28692449,43.69424394,45.03266055,41.39235485,40.99496403,38.83160158,36.74575969,39.36702021,41.24040754,37.90477223,36.68748649,41.63280643
        Kansas (Items),49.53888889,62.90365854,52.23278689,50.82768924,45.32380952,45.87793427,44.35237258,47.33479021,46.35885167,41.27386541,35.0671043,39.82393876,37.13737796,34.60059391,37.50302115,41.4158912,34.66615067,34.88726724,44.30858618,46.36126171,45.64185111,43.42406767,41.69771924,44.01977622,35.97617902,41.5634959,43.12114428,39.72442536,36.48945642,34.79181124,36.82532348,42.1897514,44.05741751,36.87974508,37.14673279,36.40526316,35.42881894,35.20872446,35.77742022,34.18196588,35.71503304,37.24164811
        Kentucky (Items),66.84946918,58.37336943,58.54431763,65.32419374,58.70399597,55.67972094,54.32208221,62.05306543,64.51310731,53.49929028,52.7313278,50.68444631,44.40733569,48.09375,51.17291096,50.85346617,46.63136787,46.05100201,54.40963729,60.62608429,51.31555295,50.76449447,51.6134851,47.50879607,43.71898385,51.24034641,46.19550173,54.54221214,45.82275486,40.08061697,46.53424512,44.35181496,46.69961634,38.76588853,39.87202347,39.62696862,40.54332048,39.38836944,38.6428071,37.77810922,34.68573703,38.35177033
        Louisiana (Items),39.3670083,48.83307763,42.98484407,41.6702381,41.83719058,47.47757848,47.79603277,54.80250348,51.88942946,42.6089948,46.21794255,39.36801632,40.4817285,43.1679815,42.60473341,48.21808299,42.89411765,46.00716519,45.8378914,52.18573668,53.24800896,46.46817349,42.47608006,46.72948105,44.87209871,51.48142021,51.17697695,47.70811819,45.07940762,43.459375,47.644646,47.84770346,45.33342271,41.30981595,41.20710701,39.92155732,39.54964784,37.37602216,37.15265574,36.74598579,35.11027668,35.15218822
        Maine (Items),65.49681239,53.58247423,48.97572816,52.08762322,53.00558659,50.69495756,47.85033076,47.53606238,49.179772,43.33774298,42.1745182,41.5177305,38.48499336,38.73703226,39.71849798,37.66625341,35.82484407,36.07272727,36.65303204,34.93815636,30.861167,34.95178197,35.08358209,35.68462292,34.66677245,38.37804031,36.91987293,38.05690493,36.12384591,34.65778753,35.3807974,35.70276848,35.35419198,36.14764305,34.86452763,35.53672159,32.80005448,35.4299775,35.29487952,33.67740964,33.83800322,35.35572409
        Maryland (Items),64.12260836,58.46207332,58.06807867,62.29051267,52.51177513,59.54771671,59.1054115,60.3256975,65.25022448,52.0189206,52.69087838,61.71340713,45.94163209,55.49158156,51.81896313,52.5006889,48.17075058,52.6157372,61.28509485,60.79161404,53.34905429,59.39186872,62.90707497,52.22791328,52.22835666,54.56810078,54.62416107,57.4566855,52.03947068,44.70786273,52.74045157,50.46174085,51.03724989,43.81761945,44.25935614,45.37329106,43.97028144,42.02173132,40.20957447,38.94296847,34.38959368,41.65825423
        Massachusetts (Items),62.85299145,57.08081824,69.54443807,71.83551847,68.79273504,66.75175573,63.98025868,62.69348779,70.54864865,60.42298851,55.98276852,58.02396576,54.6410403,53.33754668,53.23112128,47.63651975,48.51460886,49.42147436,50.32023011,51.65990783,46.42410855,52.65443425,51.78644764,47.45345345,45.33287821,48.75747689,45.85159285,48.37444589,45.57139188,41.14665971,42.75146572,43.31867576,42.28157827,41.58540752,39.87845892,38.86413281,38.12396694,39.37571763,38.86652542,38.62324989,37.56511628,40.63203051
        Michigan (Items),46.61321997,45.97951855,42.65072269,42.23504069,40.84467079,39.81342062,40.53061966,42.05394259,43.32413546,43.65034837,41.67589577,48.42692149,36.33365718,37.8566313,42.60399068,43.90887704,43.20752045,42.00999001,49.41674992,51.16520836,42.29860246,47.44708078,48.06283266,45.71530062,42.30894751,50.26710454,43.30033651,48.29859353,44.08378497,40.78385732,42.42236393,42.02200525,47.37484329,38.68805608,40.25822368,39.26935404,38.39106901,37.81540765,37.97558991,36.13843783,35.88483113,40.96728431
        Minnesota (Items),47.68448023,44.67747642,44.4719035,48.69563636,42.75841874,40.70810515,37.85717962,40.58262032,43.22495939,38.61518035,32.68544389,34.8828125,31.83441884,32.69100802,30.88782051,30.95223672,28.22038074,25.86319668,29.13402329,29.68994413,31.51767928,31.5631068,33.45282051,41.15937102,38.45623501,41.44967765,37.21682795,38.6428227,37.29738034,36.46544615,36.13034292,36.02588467,36.3429441,35.99068018,34.36857317,33.91314801,30.51594635,33.61937103,34.37628196,31.09280841,29.95621989,36.72569028
        Mississippi (Items),35.99709133,32.34970414,28.14705882,31.2786229,38.01378254,38.41481481,42.9936407,46.77232447,49.28630442,39.39610175,48.37660525,38.14516563,38.26708584,39.4177276,40.65577827,46.08037525,41.39374654,45.08872902,47.53197591,56.42054929,56.62762629,48.83232281,45.28143451,48.39193149,46.79721754,53.23149294,52.43868739,50.11418592,46.24299584,41.83857104,45.52806056,45.16157895,42.76157205,38.3549007,39.39596879,37.28088506,37.66854813,36.4734404,39.20905616,39.16814683,38.15132559,38.35792079
        Missouri (Items),72.18650266,57.27081277,55.71516604,56.13831615,57.13815789,54.80560177,54.61382565,52.43580653,56.11706599,52.27659574,48.28000962,50.60190931,46.40671011,44.21138211,50.81736939,49.97956656,58.25066941,51.02797658,53.20724438,56.42990849,49.80010699,47.99361078,52.33350794,50.04939119,44.54483378,52.05830806,50.9168117,51.36384122,46.96377331,43.68933793,48.66946688,49.6972067,51.45932865,42.72686613,41.37869639,37.44972523,35.24657734,35.96463447,37.11794042,39.83853533,37.85954136,40.7416543
        Montana (Items),51.76073883,42.23623624,48.33671528,48.54608586,34.72245635,46.76116838,56.51053424,53.35464733,49.44640667,43.13807813,43.47910448,39.82072036,36.80881691,39.27423007,41.19204222,36.34211032,32.93236904,31.45028409,32.88904268,30.9421784,33.64028035,30.18406709,24.8488024,25.46787032,26.63582806,27.9011578,30.02019558,31.72570937,28.8656495,32.54376824,34.99908088,35.82746547,38.31187465,34.69843503,33.97582719,37.2330163,32.97725344,42.71526587,36.48063859,31.59914676,34.55444678,34.68294384
        Nebraska (Items),49.22190202,37.61457109,43.21643836,37.76575342,34.97814208,34.79694519,37.41445183,37.26315789,44.26530612,39.17531306,36.40545295,35.98591549,32.29177057,29.2197615,31.30844646,30.77933942,32.17729393,33.31692573,33.43348624,36.60738007,36.15810733,34.07712215,32.81826877,33.72900158,32.49975037,35.37676228,33.49096099,35.49293717,36.27672956,30.50578292,34.6140199,35.24896093,39.69376026,34.00132802,32.0027088,32.16354937,31.77272727,33.17028004,31.14663677,28.1242657,28.50462606,34.21047479
        Nevada (Items),77.56420765,63.67206478,64.04971751,42.66691786,65.51273885,63.37041972,59.30070831,45.58516129,53.50552147,49.48480663,57.5426009,54.97149644,48.13836018,45.06060606,49.25237829,46.30634202,49.81239531,46.36784351,46.86370023,49.63588621,46.04791667,45.29351814,44.15409702,44.52055956,38.98862775,39.282099,44.4964657,40.04730203,36.99143542,37.20860053,36.52526641,36.86486486,47.39069767,48.09395509,44.60115215,42.45986125,40.31037706,41.28345725,42.2480572,35.95510455,41.30186373,42.63766457
        New Hampshire (Items),71.34824501,61.12099644,64.9078341,54.99429658,63.18572419,66.05829904,62.05547945,58.87156593,63.85968515,57.8857868,50.5337447,46.17337461,44.16397849,43.01189563,42.45670827,39.41108098,39.91790084,38.88106718,41.27358788,42.40142672,36.60792805,42.30057803,43.39271255,43.67132603,42.55046257,44.55669662,41.00299658,43.21703767,40.28565506,41.13819742,44.74020017,43.71864548,39.83991684,39.54704413,39.13150229,39.50250836,37.85970636,37.66036977,34.76544767,33.07221095,33.73776908,38.19051205
        New Jersey (Items),66.55086045,60.92753375,61.23909723,66.64582257,60.84410646,62.98390168,57.8934336,59.83557747,60.86803896,55.19687787,53.8215814,58.00932358,47.48382994,52.75624774,51.71624549,49.71727842,48.5525558,49.74267745,50.63232218,51.27846754,46.6869338,51.38600491,53.45457698,47.05089505,43.95925149,47.4754441,47.34616743,48.22451099,46.31501706,40.44634606,47.09188801,45.81836042,45.84840623,42.14831212,41.75831038,43.3285192,43.07745329,41.31615674,41.44595822,41.48839318,38.21642336,41.37397796
        New Mexico (Items),52.07528868,59.73727762,55.24226597,60.53164047,51.64335923,45.82886745,49.72932917,53.28132468,47.16056519,51.75550338,47.63056528,46.68500757,44.51463598,40.8934666,39.16752698,37.47501225,38.81784387,39.55815673,43.57461954,41.62824062,39.53299736,36.51839465,37.44911504,37.86887349,34.94100906,38.86399801,41.43719183,38.84801311,39.72173038,36.13797241,39.05263158,42.66565226,43.06587803,43.00665323,39.42686935,36.24720069,38.32045654,41.21319018,43.95404814,40.97173769,41.02348993,47.92706872
        New York (Items),68.44708504,61.43623571,59.61562192,61.53370857,58.20176434,56.01283159,54.1421551,55.01287502,58.4007381,51.85844124,49.15917754,51.99606462,43.62944213,45.0373127,46.48965984,43.27367938,41.57961901,42.70765595,44.33729149,46.06051846,42.25627064,46.28759731,47.25223214,42.97700216,39.12013852,43.09035714,38.91511369,44.50103359,42.40512471,38.89071583,41.02958047,39.63570158,39.565041,37.61760155,36.69109695,38.05175439,37.21091618,34.65393729,34.1862853,32.8960341,34.59195402,38.17413138
        North Carolina (Items),57.47954772,54.91010075,42.28936896,42.90665409,42.31147076,46.74766831,49.49616547,45.47706592,54.36853576,43.65533794,45.89514761,40.99435206,38.8794659,45.58269466,42.25237436,43.9079096,45.03311728,50.34775226,55.19716312,57.42540373,55.92492789,55.12413124,58.03349687,50.04667378,46.74371652,52.07071422,51.41961214,54.51088659,48.10325611,40.80021582,46.36931949,44.33888255,41.61626584,37.18334323,39.06040757,38.30922199,38.5097899,36.31366813,36.13311293,36.26179966,30.89587426,36.11565746
        North Dakota (Items),24.54609929,27.98236515,34.63632053,33.07479601,35.30660931,36.42115535,30.60966656,26.62742176,33.27823485,26.27215888,23.84465688,22.55107619,19.72369292,19.13893225,20.20861833,22.83067867,26.92178276,24.93376588,25.1322691,29.20742885,28.1015299,28.97518286,29.72959319,30.67183099,30.94399554,31.59295898,31.88950124,29.92943438,32.80870066,32.96166717,36.19483871,34.87586424,36.51944107,38.77621522,36.46144468,36.97780214,31.41432507,35.38073511,37.60850236,34.61255827,31.39408867,42.69729043
        Ohio (Items),62.25151657,60.6962379,64.11524598,61.84284485,60.2639398,58.18375356,58.11803549,59.80490513,63.80354299,57.92235096,55.67943827,61.98940562,50.39810427,53.95184579,54.45159598,49.77794175,48.60825325,47.1720814,52.26748765,55.9973859,49.5512535,52.73968434,54.69481072,49.12556433,45.15508324,50.75294893,43.97716997,47.57368538,43.76981832,38.80577137,46.38485603,43.78209745,45.33445617,38.97548906,39.19800834,38.32567433,37.78975347,36.46694922,37.19864945,36.50246161,34.10893793,37.57330599
        Oklahoma (Items),44.8977918,46.55851064,40.68546196,38.12046784,44.4486166,45.61754386,45.31139835,42.6442904,49.70884658,46.73961499,41.82714811,38.56696878,36.61017544,30.83555704,36.92369748,38.0349559,34.82459547,37.82434381,48.57755864,42.49774867,43.97914494,45.92738666,43.89325658,45.61871571,41.59576869,46.22738675,47.65670162,40.92028254,40.86159924,41.99281745,43.76094537,52.15761155,48.73715145,42.91394953,41.1962983,38.24470354,37.31298281,37.90151689,38.52511087,36.76167765,35.72203947,42.44167878
        Oregon (Items),49.57290202,51.55454545,46.4488806,43.63204748,44.79552053,46.67206638,46.00663228,47.28100159,42.72825435,44.71356421,42.76684119,41.47873711,40.2951847,37.47967213,35.68829475,32.53419355,33.82151105,30.71675359,30.43229689,36.15825751,35.50917011,34.31925943,37.25066726,32.08699634,34.43461729,33.90259197,33.07202031,33.76986154,36.06674383,35.43176237,29.67085954,32.40029236,31.82720677,37.08918658,31.88448471,34.27020234,28.40391742,37.21283057,34.55588511,31.55475157,38.08927711,29.68302257
        Pennsylvania (Items),74.98968497,64.3262117,67.30501193,67.28960573,64.26512729,64.36442516,60.16294238,64.02330355,69.35113369,59.10749108,56.16073716,60.11920653,50.53783307,56.25903443,56.80460114,54.41761595,51.62719677,54.26784101,57.99333801,58.24028087,52.01856941,59.04450111,58.72544844,52.41742555,49.9996744,54.88201576,48.02264863,50.29100111,47.45979232,43.90705596,48.33012336,46.62791404,48.14295223,44.92879499,44.42662481,45.22334766,43.07075334,42.51701818,39.93323803,39.8420725,37.42799618,42.18848277
        Rhode Island (Items),71.7816092,63.37130802,60.07747489,57.65860597,64.80630631,65.17206478,61.11050725,61.00546448,65.77490775,57.34345351,52.12780656,55.26232394,48.92241379,47.88990826,51.06993007,46.96806723,45.86046512,47.26323988,45.21105528,49.20622568,47.10526316,55.80411125,53.93333333,50.28645161,46.96272494,50.08735332,46.19721871,48.7130102,44.80050188,37.67203682,40.81182796,43.54237288,42.87062257,40.66329347,36.95333943,42.03508772,38.62627197,36.01579926,37.18888889,36.08801498,35.02568807,40.65612105
        South Carolina (Items),52.853902,48.95042644,43.29509658,46.19309052,44.22925226,40.19786559,43.49756324,49.83558994,52.58219471,39.84378487,47.62803738,39.13392857,39.71369048,46.59308254,41.05678551,42.7812315,42.97615239,46.7490336,53.08222491,54.88946385,54.24083251,51.28787032,51.15115343,43.68108808,45.53797056,48.09748128,47.8996338,48.76241535,46.43602635,38.15300204,43.56472393,44.52802803,38.97483095,34.84257285,37.25210687,36.77051807,38.85055131,36.77195394,35.27719719,40.80011477,34.42383073,38.87024902
        South Dakota (Items),,,,,,28.74351585,24.31234257,26.3454039,33.96761905,29.59831933,30.73449921,29.34578147,29.88355167,24.22680412,31.48805461,29.81154499,30.49829932,32.08488964,25.39562044,35.0866242,32.96153846,32.59156977,27.24329268,34.83246073,34.82750583,39.56952965,38.6215342,35.95702962,35.33320328,35.14653465,37.26078367,36.26946108,42.02861842,40.30705532,35.82876033,35.93711249,33.03680801,34.16170839,34.80748821,33.89486119,34.939369,35.29405163
        Tennessee (Items),69.83752917,66.88396285,57.24132841,57.30029769,61.66212534,59.17940781,60.42572489,59.02163499,60.3056878,49.42632197,52.66467693,46.72370037,45.03790535,49.38400252,48.54144359,47.64567332,49.67731092,52.06871059,53.50474957,59.79190628,55.74583807,50.65306721,49.14342916,49.7339085,46.66549953,49.97379227,49.82412791,56.38788969,47.66766297,36.85433558,45.33994374,44.41420949,44.54907041,39.90902323,40.24598047,38.77226162,41.16764854,37.74733296,36.53186588,36.53515427,33.52651223,38.17147436
        Texas (Items),61.82092468,60.25258398,60.22880394,62.60537379,63.13059563,61.77563329,57.94651477,60.61283468,59.46819035,54.24691137,51.72488954,48.61797084,49.15486858,46.31067961,48.9928488,55.04591407,46.75445651,48.84176117,48.62649613,52.46060248,51.93248343,49.01149106,48.97010086,50.29535865,46.51523998,51.13728584,49.46474242,45.01562164,44.12527609,42.73359277,42.34218289,47.87567173,44.98852058,42.61591999,41.02031325,41.18307306,38.67533265,37.59046627,36.7941937,36.77882172,35.21523399,36.85365854
        Utah (Items),49.53930049,66.54442877,77.1884909,66.412,68.10012837,70.09153476,68.56164384,67.73836066,63.66439434,61.03,55.85131775,53.60460358,56.58610118,51.51305543,50.44915966,40.95989603,44.11655629,39.84259903,51.19396552,50.72005152,47.17214996,48.15379238,51.3332193,47.94028305,50.28457362,50.47523839,51.27700243,54.36743642,52.05957447,50.76891106,51.19234617,50.06705351,50.62645607,53.91064601,45.680008,45.80648536,47.04831979,51.23849905,51.91106,46.19442262,45.91833977,52.64010529
        Vermont (Items),33.92307692,31.99065421,37.59816972,35.90987124,36.5804829,35.34701493,33.50730282,36.72163121,40.33154602,38.76739563,37.20668693,39.28777671,35.39907407,37.41020966,41.56312625,33.70577617,33.29326047,34.68547641,34.98366955,39.57493188,34.92783505,40.00673725,39.96416084,37.66899302,35.031477,37.03923139,32.5869906,34.66898955,38.92056487,37.91735537,37.97074954,41.22627737,36.39471511,36.74607113,34.61932287,35.16652858,34.15920398,34.41419142,35.37706271,34.91909925,34.87541806,40.73944954
        Virginia (Items),52.87457338,47.92810353,45.39712697,49.58541156,43.4225682,45.81957774,45.79517081,52.8459873,52.32745314,47.09600444,47.01918776,49.09950249,43.11676428,50.23877456,45.58724678,44.9479971,42.23269514,45.87959232,49.47943596,51.08983911,45.6723127,48.09313414,49.90901388,44.52501668,42.51730277,45.20119544,44.09395443,46.90228553,41.65603329,36.00372261,42.70253369,39.17239583,38.24805154,34.72372238,34.67985099,35.36902025,34.28744519,33.54115139,31.62609457,33.08584813,31.49309124,34.71119273
        Washington (Items),58.43651086,57.93811881,54.82549157,53.08406935,49.70076923,50.86797253,51.02556885,52.5892054,50.12373096,47.24983621,48.22095238,47.44183368,42.95632334,37.88861232,37.03843856,35.51919232,34.73195266,33.76836735,32.39952058,33.46337482,35.85488448,35.53690616,37.40270698,37.23639706,35.23623524,33.50606348,34.6858351,32.427548,32.32328582,32.0069478,27.43601583,29.08042895,30.62313827,32.23477915,29.28281611,32.02363147,27.07197943,34.07934981,32.45586582,29.05912409,31.34094525,26.6375814
        West Virginia (Items),65.99145299,46.7211094,76.31954887,81.79417739,79.63692762,73.61863922,77.96696781,81.04323725,83.45914397,73.67850154,70.49083454,69.98961774,61.66074313,67.57824514,65.37986425,56.22481151,53.79663749,55.25886288,61.23128158,64.33827002,58.44355991,58.31551758,57.00336767,53.48582755,50.6988625,54.22396897,51.32643144,55.1400596,47.13806287,43.53964194,43.14621633,39.68411673,40.91474654,35.52968568,35.69418743,35.27668172,33.5849736,32.4170422,30.12301426,29.7026916,27.79313305,35.08867428
        Wisconsin (Items),53.85737199,56.51931865,55.98794831,57.41827204,56.90836312,53.98239978,49.9422089,50.2620883,58.38794436,47.8441524,43.59349486,45.09428493,37.60448658,34.30350494,38.22262823,42.0737371,39.68505119,40.28306484,43.63467012,47.02579743,42.8253402,46.31944265,46.6819001,46.2521327,40.20143407,47.84782894,41.87731006,45.95030196,41.58515815,39.44456695,41.85342671,41.89454447,45.36459983,40.04152249,39.79607991,38.42019584,36.87174049,36.86089751,39.45326519,36.08579566,36.65520932,40.9687566
        Wyoming (Items),,,,,20.6,34.74744027,26.84143763,38.17893218,35.65450644,28.1443299,36.5479798,38.13976705,36.30088933,34.50985222,39.32307692,38.06465028,32.99586207,33.31542759,33.89775967,37.92598684,36.05180591,37.94103774,38.62328549,36.08042489,32.34330445,32.60926194,36.47843473,38.03235152,37.65257314,34.81857946,36.44757081,37.98392794,41.10068259,41.96116336,40.17622117,40.55043375,40.52559784,42.9976934,43.25608324,41.08489348,39.11206201,38.86292074
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Agency,Source,Table,Url,Direct Link,Updated,Update Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Environmental Protection Agency,Air Quality Index,,https://aqs.epa.gov/aqsweb/airdata/download_files.html,,11/13/19,Semi-Annual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exported on: 07/05/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
