Years,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
"        Houston-The Woodlands-Sugar Land, TX (Items)",112.6758242,101.0328767,109.5780822,119.3818681,111.7786885,106.5479452,102.0794521,104.3041096,106.2704918,97.95068493,102.169863,91.37260274,89.50546448,87.98630137,93.14246575,103.5726027,91.12568306,88.64383562,82.18630137,91.81643836,88.13387978,83.25205479,78.56986301,85.70684932,83.52459016,88.2369146,83.25479452,75.31232877,70.64010989,66.22739726,66.44657534,69.52054795,65.68579235,59.58082192,58.15068493,64.09041096,58.35245902,57.8109589,59.00821918,60.2274,57.7077,58.381
"        Las Vegas-Henderson-Paradise, NV (Items)",87.15027322,89.92876712,83.38082192,72.90684932,78.31420765,83.68219178,76.82191781,64.95518207,79.1420765,78.47671233,74.34246575,71.08767123,66.96448087,67.74246575,74.82692308,68.52876712,74.74590164,65.30684932,75.78356164,81.76164384,74.85245902,75.18082192,77.49315068,76.94794521,68.77595628,71.87945205,73.00547945,69.28493151,64.52185792,61.04657534,62.80273973,66.0739726,71.29508197,67.04657534,63.02465753,62.90684932,63.49453552,63.88219178,67.88767123,59.0192,65.2377,65.2864
"        Los Angeles-Long Beach-Anaheim, CA (Items)",174.1830601,174.3068493,161.4054795,158.9013699,166.2896175,163.2246575,167.1589041,156.1616438,166.9480874,155.9945205,138.2383562,137.7178082,139.5163934,127.7780822,127.6219178,119.3506849,107.2240437,98.51506849,92.28219178,96.29589041,104.6229508,107.7616438,108.969863,109.4958904,104.2540984,96.97534247,94.73424658,93.34520548,97.06284153,93.35616438,87.01369863,92.64931507,92.13387978,87.89589041,90.08767123,91.67123288,86.7568306,92.15616438,85.94520548,82.6274,97.8525,75.4231
"        Miami-Fort Lauderdale-West Palm Beach, FL (Items)",78.84699454,79.8109589,70.87945205,69.6739726,61.04371585,57.74794521,55.52876712,53.28493151,54.30054645,51.73972603,46.78082192,42.6,48.07103825,54.3890411,50.15342466,49.18630137,48.59289617,50.22465753,54.01643836,57.00821918,55.68852459,51.48493151,47.30410959,51.93424658,54.62295082,55.56986301,57.67945205,53.52328767,49.53551913,48.86849315,50.39178082,48.63013699,48.39617486,45.53972603,47.22739726,45.74794521,51.15702479,49.91620112,46.53972603,43.3901,45.7131,48.3791
"        Minneapolis-St. Paul-Bloomington, MN-WI (Items)",108.2568306,92.98082192,99.66027397,97.51506849,97.03005464,95.03561644,92.16438356,90.89315068,100.6120219,91.3369863,81.41643836,79.85479452,70.25956284,58.26575342,58.74520548,62.12876712,55.92622951,53.11780822,52.56438356,53.52328767,60.39617486,60.36986301,57.03013699,61.34794521,55.56557377,59.90958904,55.4,56.73424658,53.21038251,53.85205479,53.92876712,50.5260274,51.10928962,48.7890411,49.61917808,50.70136986,48.89617486,51.67123288,52.28767123,48.7863,45.4863,50.7527
"        New York-Newark-Jersey City, NY-NJ-PA (Items)",132.3306011,119.9671233,117.5972603,119.5013699,119.2622951,120.4383562,113.1123288,110.1780822,107.3579235,100.939726,98.59178082,101.7589041,86.32513661,90.09863014,88.21369863,81.50410959,81.61748634,80.15068493,82.8739726,85.37260274,79.39071038,85.11232877,83.84383562,76.63561644,73.04371585,78.06027397,77.36712329,77.03835616,75.32513661,66.71780822,69.45753425,67.74794521,64.33606557,59.74520548,59.66027397,63.03835616,59.81420765,57.86849315,58.94520548,56.8493,52.6995,55.9416
"        Orlando-Kissimmee-Sanford, FL (Items)",44.16066482,58.84657534,47.17808219,44.4109589,46.4726776,40.09589041,43.8739726,48.0739726,47.52459016,49.48767123,48.81369863,42.62739726,46.59289617,47.72328767,44.3369863,48.35616438,44.96721311,48.37808219,54.02465753,56.00273973,59.76229508,54.74794521,51.01369863,50.98356164,52.91803279,54.46575342,56.76712329,52.11506849,47.36885246,46.06849315,49.37534247,49.73150685,43.71038251,41.16986301,42.59726027,41.43835616,44.30601093,45.0739726,41.27945205,42.1288,39.9836,44.544
"        Philadelphia-Camden-Wilmington, PA-NJ-DE-MD (Items)",126.5464481,113.2547945,110.7890411,113.860274,105.0874317,107.4410959,99.33150685,103.3369863,107.0601093,98.16164384,98.43013699,96.04931507,88.31147541,104.8219178,103.3835616,98.52876712,98.19125683,96.13424658,89.33972603,90.11780822,80.79234973,89.5260274,90.16438356,81.46849315,75.20218579,80.95890411,78.28767123,74.69863014,70.84699454,64.23561644,68.87945205,67.10684932,67.47814208,61.46575342,63.62191781,63.65205479,61.82513661,59.4,59.39452055,55.6274,51.5301,52.6379
"        Phoenix-Mesa-Scottsdale, AZ (Items)",116.1448087,136.9178082,111.4191781,112.5205479,124.942623,133.4082192,124.5452055,98.36712329,87.38251366,86.10684932,83.96712329,78.27123288,86.03551913,91.97808219,76.39452055,85.48493151,85.82513661,91.66027397,97.90684932,103.9287671,96.92076503,84.32328767,84.9369863,81.43013699,74.83606557,83.56164384,166.2465753,145.4356164,115.6393443,91.90136986,82.35068493,121.5972603,93.72677596,91.04657534,111.2438356,92.78356164,83.32240437,87.2739726,92.63287671,89.874,138.0492,109.5757
"        Pittsburgh, PA (Items)",134.068306,136.4712329,147.7753425,153.6794521,150.2759563,128.0630137,120.2931507,125.569863,131.6557377,122.8794521,126.7479452,124.4082192,119.6448087,118.1726027,118.2356164,107.3232877,102.8743169,103.9835616,108.290411,106.4958904,97.65846995,98.92054795,101.2136986,93.78356164,89.2431694,93.97808219,85.51232877,86.13972603,83.04371585,76.70410959,77.40821918,71.72876712,71.94535519,61.58356164,62.50136986,63.69041096,62.53005464,64.45753425,60.19726027,60.0137,53.7514,56.2591
